Job Title,Deadline Date,Job Category,Job Level,No. of Vacancy/s,Employment Type,Job Location,Offered Salary,Apply Before(Deadline),Education Level,Experience Required,Professional Skills,Job Description
"
Senior Backend Developer (PHP/Python)



",06/09/2024 11:55 p.m.,IT & Telecommunication,Senior Level,[ 2 ],Full Time,"Lalitpur, Nepal",Negotiable,"Jun. 09, 2024 23:55
(3 days, 4 hours from now)",Under Graduate (Bachelor),More than 5 years,"Interpersonal Skills, Collaboration, Time Management, Python, PHP","Collaborate with cross-functional teams to design and develop backend solutions using PHP and Python.
Architect and implement RESTful APIs to support seamless integration with frontend applications or other systems.
Optimize application performance through efficient database query design and caching strategies.
Ensure code quality and maintainability through rigorous testing and code reviews.
Implement security best practices to safeguard sensitive data and protect against vulnerabilities.
Participate in Agile development methodologies, including sprint planning, daily stand-ups, and retrospectives.
Mentor junior developers and contribute to their professional growth and development."
"
Sales Executive



",06/15/2024 11:55 p.m.,Sales / Public Relations,Mid Level,[ 3 ],Full Time,Boudha Stupa Circle,Negotiable,"Jun. 15, 2024 23:55
(1 week, 2 days from now)",Under Graduate (Bachelor),More than or equal to 2 years,N/A,"A bachelor's degree in a related field (Business, Marketing, Tourism, Major English, etc.) is preferred.
Fluency in English speaking is essential.
At least 2 years of experience in sales, preferably in the art or tourism field. Freshers with high interest and enthusiasm are encouraged to apply.
Age above 25 years.
Strong interpersonal and communication skills.
Ability to work independently and as part of a team.
Passionate about Art and Culture."
"
Star Content Creator



",07/03/2024 11:55 p.m.,Journalism / Editor / Media,Mid Level,[ 1 ],Full Time,Kathmandu,Negotiable,"Jul. 03, 2024 23:55
(3 weeks, 6 days from now)",Under Graduate (Bachelor),More than or equal to 2 years,"Collaboration, Multitasking, Creativity Skills, Adobe Photoshop, Content Creation","Review and showcase the latest gadgets and technology.
Create captivating videos and shorts that resonate with our tech-savvy audience.
Write, present, edit and bring scripts to life with energy and enthusiasm.
Embrace Tech Central’s core mission and ethos, weaving them into every piece of content you create."
"
Security Operations Center (SOC) Analyst - Intermediate



",06/13/2024 11:55 p.m.,IT & Telecommunication,Mid Level,[ 2 ],Full Time,Kathmandu,Negotiable,"Jun. 13, 2024 23:55
(1 week from now)",Under Graduate (Bachelor),More than or equal to 2 years,"Collaboration, Attention to Detail, Communication, Multitasking, Networking Skills","Monitor security incidents using various tools within the SOC.
Investigate and analyze alerts, logs, and events to identify potential threats.
Escalate incidents as needed to prevent unauthorized access or harm caused by cybercriminals."
"
Security Operations Center (SOC) Analyst - Junior



",06/13/2024 11:55 p.m.,IT & Telecommunication,Entry Level,[ 2 ],Full Time,Kathmandu,Negotiable,"Jun. 13, 2024 23:55
(1 week from now)",Under Graduate (Bachelor),Not Required,"Collaboration, Attention to Detail, Communication, Multitasking, Networking Skills","Monitor security incidents using various tools within the SOC.
Investigate and analyze alerts, logs, and events to identify potential threats.
Escalate incidents as needed to prevent unauthorized access or harm caused by cybercriminals."
"
Senior Laravel / Fullstack Developer



",06/06/2024 11:55 p.m.,"IT & Telecommunication
 > Web Developer/Web Designer",Senior Level,[ 2 ],Full Time,"Hattisar, Kathmandu, Nepal","NRs. 100,000.00 - 250,000.00 Monthly","Jun. 06, 2024 23:55
(4 hours from now)",Under Graduate (Bachelor),More than or equal to 4 years,"PHP, Laravel Framework, Vue.js","5 days work week
PAID annual & sick leave
Competitive salary"
"
ECA Coordinator



",06/14/2024 11:55 p.m.,Teaching / Education,Mid Level,[ 1 ],Full Time,Kathmandu,Negotiable,"Jun. 14, 2024 23:55
(1 week, 1 day from now)",Under Graduate (Bachelor),More than or equal to 2 years,"Leadership, Communication, Team Building, Marketing, Event Management","Enthusiastic and energetic personality.
Creative and innovative mindset.
Strong leadership and team-building capabilities.
Ability to work under pressure and meet deadlines.
Commitment to fostering a positive and inclusive school culture.
Adaptable to changing circumstances and able to handle unexpected challenges.
Reliable and consistent in fulfilling job responsibilities.
Meticulous attention to detail to ensure smooth execution of activities and events."
"
Front Desk Officer



",06/12/2024 11:55 p.m.,Secretarial / Front Office / Data Entry,Mid Level,[ 2 ],Full Time,"Bansbari, Kathmandu",Negotiable,"Jun. 12, 2024 23:55
(6 days, 4 hours from now)",Under Graduate (Bachelor),More than or equal to 3 years,"Time Managament, Interpersonal Skills, MS Office Suite, Communication, Multitasking","Handling incoming and outgoing calls
Respond professionally to the candidates phone calls and assist the candidates in providing all useful information
Handling Customers and Visitors
Providing information of current demands to candidates and agents
Maintain a positive attitude and contribute towards a quality environment"
"
HR And Admin Assistant



",06/12/2024 11:55 p.m.,Human Resource /Org. Development,Mid Level,[ 1 ],Full Time,"Service Office, Harisiddhi, Lalitpur",Negotiable,"Jun. 12, 2024 23:55
(6 days, 4 hours from now)",Under Graduate (Bachelor),More than or equal to 1 year,"HR Database Management, Communication, Multitasking, Time Management, Problem Solving","Assisting with the recruitment process, including posting job ads, scheduling interviews, and conducting initial screenings of candidates.
Maintaining employee records, including personal information, attendance, leave, and performance evaluations.
Assisting in the onboarding process for new hires, including orientation and training.
Handling employee inquiries and issues related to HR policies, benefits, and payroll.
Supporting HR projects and initiatives, such as performance management
Assisting in organizing and coordinating employee events, training sessions, and workshops.
Ensuring compliance with labor laws, regulations, and organizational policies."
"
Senior Software Engineer (Java)



",06/23/2024 11:55 p.m.,IT & Telecommunication,Senior Level,[ 1 ],Full Time,Kathmandu,Negotiable,"Jun. 23, 2024 23:55
(2 weeks, 3 days from now)",Under Graduate (Bachelor),More than or equal to 5 years,"Debugging, Communication, Problem Solving, Result Oriented, Analytical","Develop solutions/product in Java using best practices around enterprise architecture such as dependency management, design patterns, complexity estimation & persistence layers.
Carry out system analysis and suggest modifications to technical procedures to enhance software operations.
Engage in product development and brainstorming with team members.
Mentoring the junior team members."
"
Digital Marketing Executive



",06/08/2024 11:55 p.m.,"Marketing / Advertising / Customer Service
 > Creative directions, Customer relationship, Direct marketing, Marketing communication, Marketing Strategy",Mid Level,[ 1 ],Full Time,Baluwatar,"NRs. 20,000.00 - 30,000.00 Monthly","Jun. 08, 2024 23:55
(2 days, 4 hours from now)",Under Graduate (Bachelor),More than or equal to 2 years,"Digital Marketing, Communication, Search Engine Optimization (SEO), Social Media Marketing, Team Player","Collaborate with cross-functional teams to develop comprehensive digital marketing strategies aligned with business goals.
Analyze market trends, customer behavior, and competitor activities to identify opportunities and optimize marketing efforts.
Plan and execute integrated digital marketing campaigns across multiple channels (e.g., social media, search engines, email, display advertising, content marketing)."
"
Senior Full Stack Engineer



",06/23/2024 11:55 p.m.,"IT & Telecommunication
 > Programmer/ Software Engineer",Senior Level,[ 1 ],Full Time,Remote,"NRs. 250,000.00 - 400,000.00 Monthly","Jun. 23, 2024 23:55
(2 weeks, 3 days from now)",Under Graduate (Bachelor),More than or equal to 5 years,"Node.Js, React.Js, React Native, Software Engineering","Develop and maintain web applications using React.js, ensuring high performance and responsiveness.
Build and enhance mobile applications using React Native, with a deep understanding of native Android and iOS development to handle platform-specific requirements and optimizations.
Design, implement, and maintain robust backend services using Node.js and related frameworks (e.g., Express.js).
Collaborate with cross-functional teams, including designers, product managers, and other engineers, to deliver high-quality products.
Write clean, maintainable, and well-documented code, following best practices and coding standards.
Perform code reviews, mentor junior developers, and contribute to the continuous improvement of our development processes.
Troubleshoot and debug complex issues, identifying root causes and implementing effective solutions.
Stay updated with the latest industry trends and technologies, and proactively share knowledge within the team."
"
Export Documentation Officer



",06/11/2024 11:55 p.m.,"Commercial / Logistics / Supply Chain
 > Documentation, Import export administration",Mid Level,[ 1 ],Full Time,"Nayabazar, Kathmandu",Negotiable,"Jun. 11, 2024 23:55
(5 days, 4 hours from now)",Under Graduate (Bachelor),More than or equal to 1 year,"MS Office Suite, Communication, Multitasking, Teamwork, Time Management","Prepare and manage export documentation for international shipments.
Coordinate with freight forwarders, shipping lines, and couriers to ensure timely delivery.
Handle logistics and cargo arrangements for both air and sea shipments.
Ensure compliance with international trade regulations and customs requirements.
Maintain accurate records of shipments and documentation.
Collaborate with internal teams to streamline the shipping process.
Address and resolve any issues related to shipping and documentation.
Work beyond regular office hours when necessary to meet deadlines and ensure the smooth flow of goods."
"
Educational Content Writer - English



",06/11/2024 11:55 p.m.,Journalism / Editor / Media,Mid Level,[ 1 ],Full Time,"Baluwatar, Kathmandu",Negotiable,"Jun. 11, 2024 23:55
(5 days, 4 hours from now)",Graduate (Masters),More than or equal to 2 years,"Content Editing, Communication, Organizational, Time Management, Creativity Skills","Write scripts for educational videos to make learning English as a subject of the Nepali curriculum fun and engaging
Prepare educational materials for the English subject of different academic levels in accordance to the curriculum requirements
Review videos and provide feedback to animators to ensure that the videos meet the company standards
Prepare e-learning materials such as quizzes, test papers and eBooks
Actively participate in team meetings and maintain cohesion with the rest of the Content department"
"
Content Editor (English / Nepali)



",06/11/2024 11:55 p.m.,Journalism / Editor / Media,Mid Level,[ 4 ],Full Time,"Baluwatar, Kathmandu",Negotiable,"Jun. 11, 2024 23:55
(5 days, 4 hours from now)",Graduate (Masters),More than or equal to 2 years,"Content Editing, Communication, Organizational, Time Management, Creativity Skills","Edit the language and flow of scripts of various subjects and different academic levels that will be used in making video lessons.
Perform a quality check and plagiarism check of the content in the scripts to ensure that the subject matter is correct and original.
Collaborate with content experts and creative writers of various subjects and provide advice that will help improve the quality of scripts.
Provide creative input to make video lessons more engaging and exciting for learners.
Oversee the voice recording or video shoots to ensure correct and smooth narration/delivery of scripts.
Review and quality check videos to suggest corrections to ensure the video lessons are of thebest quality.
 Actively participate in team meetings and maintain cohesion with the rest of the English Editors."
"
Generation Control Engineer



",06/22/2024 11:55 p.m.,Construction / Engineering / Architects,Mid Level,[ 1 ],Full Time,Kathmandu,Negotiable,"Jun. 22, 2024 23:55
(2 weeks, 2 days from now)",Under Graduate (Bachelor),More than 4 years,"Interpersonal Skills, Management, Communication, Multitasking, Teamwork, Analytical","Specialist in Electrical generator control
Detailed knowledge of programming and commissioning of PLC, HMI and SCADA systems
Experience of testing and fault finding to component level
Outline and detailed design and specification of Hydro, Solar and electrical power projects including the civil and mechanical interfaces.
Know the sequence of jobs (on site and in the office) and pre-empt the need for information/client input
Manage the interface between the site-based contractor’s staff and the designers and help in resolving site based design changes.
Work as part of a team to suggest improvements which will benefit our clients."
"
Sales and Marketing Executive



",06/09/2024 11:55 p.m.,"Sales / Public Relations
 > Sales/ Marketing, Real state agent/ Broker",Mid Level,[ 1 ],Full Time,"Naxal, Kathmandu",Negotiable,"Jun. 09, 2024 23:55
(3 days, 4 hours from now)",Under Graduate (Bachelor),More than 3 years,N/A,"Property Sales: Identify potential buyers and showcase properties to them, highlighting their features and benefits.
Client
Relationship: Build and maintain strong relationships with clients by
providing excellent customer service and addressing their inquiries and
concerns.
Market Research: Stay updated on real estate market
trends, property values, and competitive properties in order to advise
clients accurately.
Lead Generation: Actively seek new leads through various channels, such as networking, referrals, and online platforms.
Property
Presentations: Create engaging property presentations, including
photographs, floor plans, and descriptions, to effectively market
properties.
Negotiations: Negotiate terms and prices between buyers and sellers to facilitate successful property transactions.
Documentation: Ensure all necessary documentation and legal procedures are completed accurately for property sales.
Targets: Meet or exceed sales targets by consistently identifying and pursuing potential buyers.
Networking:
Attend industry events, conferences, and seminars to expand
professional network and stay informed about industry developments.
Reports: Prepare regular reports on sales activities, leads, and sales performance for management review."
"
General Manager



",07/11/2024 11:55 p.m.,General Mgmt. / Administration / Operations,Senior Level,[ 1 ],Full Time,Kathmandu,Negotiable,"Jul. 11, 2024 23:55
(1 month from now)",Under Graduate (Bachelor),More than 5 years,"Leadership, Attention to Detail, Decision Making, Communication, Problem Solving","Collaborate and coordinate with lawyers, tax consultants, and donors to ensure timely renewal of tax exemption certificates and other legal documents.
Work with legal counsel to address any legal matters related to projects or organizational operations.
Arrange and attend meetings with representatives of rural wards & municipalities, as well as other relevant stakeholders for project-related discussions and assessing their suitability for funding.
Prepare and submit project proposals to the appropriate authorities for approval and necessary compliance.
Monitor the progress of project proposals and follow up on any pending approvals or revisions and assist the Social Welfare Council (SWC) during their visits to monitor the progress of projects."
"
Admission Counselor



",06/10/2024 11:55 p.m.,"Teaching / Education
 > Counseling",Mid Level,[ 4 ],Full Time,"Dillibazar, Kathmandu, Nepal
Lokanthali, Bhaktapur, Nepal
Mandikatar, Kathmandu, Nepal – (Fashion Campus &amp; Interior Campus)",Negotiable,"Jun. 10, 2024 23:55
(4 days, 4 hours from now)",Under Graduate (Bachelor),More than or equal to 2 years,"Interpersonal Skills, MS Office Suite, Counseling, Communication, Time Management","Mandikatar, Kathmandu, Nepal – (Fashion Campus & Interior Campus) – 2 Nos.
Lokanthali, Bhaktapur, Nepal – 1 No.
Dillibazar, Kathmandu, Nepal – 1 No."
"
Solar PV Systems Engineer



",06/20/2024 11:55 p.m.,Construction / Engineering / Architects,Mid Level,[ 1 ],Full Time,Kathmandu,Negotiable,"Jun. 20, 2024 23:55
(2 weeks from now)",Under Graduate (Bachelor),More than or equal to 3 years,"Interpersonal Skills, Management, Communication, Multitasking, Teamwork, Analytical","Solar PV electrical power systems (AC and DC) Implementation
Experience of testing and fault finding to component level
Practical knowledge of earth nest and HV testing  
Creation of technical documents and reports associated with various projects
Outline and detailed design and specification of Solar and electrical power projects 
An awareeness of the civil and mechanical interfaces.
Work as part of a team to suggest improvements which will benefit our clients."
"
Software Developer And Data Analyst



",06/20/2024 11:55 p.m.,IT & Telecommunication,Mid Level,[ 1 ],Full Time,Kathmandu,Negotiable,"Jun. 20, 2024 23:55
(2 weeks from now)",Under Graduate (Bachelor),More than or equal to 1 year,"Interpersonal Skills, Management, Communication, Multitasking, Teamwork, Analytical","Perform and Execute Data Mining, Data Cleansing and Data Analysis of large datasets in excel, SQL or Power Query.
Time Series Analysis and forecasting with knowledge of Machine Learning Approaches- Supervised or Self Learning Methodology. Data Presentation in excel or Power BI platforms.
Develop and engage software based on OOP (Object Oriented Programming) concepts possibly using multiple languages like C#. Net [.Net Core, MVC, Blazor, Razor], Java, etc.
Some knowledge in programming the web API and web application, scripting for client and server side [ Javascript, JQuery] would be useful
Some knowledge of developing user friendly mobile application based on Android or IOS- cross platform utility would also be useful
Monitor and troubleshoot PC and network, configure and handle firewall, network attached storage, servers onsite or remotely.
Assist in company day today IT related work or assigned work in the domain.
Support the quality assurance process for deliverables created by others in the organisation"
